,lat,lon,setor
6919,-49.29210832,-25.44736917,10
6920,-49.2924655,-25.44751533,10
6921,-49.29247933,-25.44750609,10
6922,-49.29248008,-25.44750637,10
6923,-49.29248831,-25.44752518,10
6924,-49.29361296,-25.4479418,10
6925,-49.29388375,-25.44804641,10
6926,-49.29401143,-25.44811052,10
6927,-49.29402077,-25.44810601,10
6928,-49.29402238,-25.44811472,10
6929,-49.29413587,-25.44815558,10
6930,-49.29457123,-25.44831196,10
6931,-49.29541334,-25.44863724,10
6932,-49.29542006,-25.4486399,10
6933,-49.2954385,-25.44864696,10
6934,-49.2954386,-25.44864718,10
6935,-49.29545396,-25.44865293,10
6936,-49.29660982,-25.44909939,10
6937,-49.29672783,-25.44926408,10
6938,-49.30462411,-25.45062034,10
6939,-49.30462426,-25.45062037,10
6940,-49.30462426,-25.45062285,10
6941,-49.30462426,-25.45162788,10
6942,-49.30398053,-25.45348788,10
6943,-49.30342799,-25.45551254,10
6944,-49.3032456,-25.4562633,10
6945,-49.30286473,-25.45747904,10
6946,-49.30239266,-25.45933895,10
6947,-49.30217521,-25.46008982,10
6948,-49.30208689,-25.46039482,10
6949,-49.3019796,-25.46072418,10
6950,-49.30190417,-25.46089444,10
6951,-49.30181867,-25.46108743,10
6952,-49.30146998,-25.46217235,10
6953,-49.301014,-25.46318946,10
6954,-49.30093354,-25.46342194,10
6955,-49.30077148,-25.46438091,10
6956,-49.3007039,-25.46468598,10
6957,-49.30069638,-25.46471994,10
6959,-49.27639453,-25.47005842,11
6960,-49.27575483,-25.47118321,11
6961,-49.27556774,-25.47151296,11
6962,-49.27489484,-25.47254376,11
6963,-49.27344645,-25.47225318,11
6964,-49.27247012,-25.47200135,11
6965,-49.27177275,-25.47172045,11
6966,-49.27098954,-25.47122647,11
6967,-49.27092517,-25.47110055,11
6968,-49.27069986,-25.47097463,11
6969,-49.27033508,-25.47096495,11
6970,-49.2699703,-25.47080997,11
6971,-49.26896986,-25.47349073,11
6972,-49.26797588,-25.4733538,11
6973,-49.26631177,-25.47308617,11
6974,-49.26625846,-25.47321357,11
6975,-49.2662464,-25.47322567,11
6976,-49.26558221,-25.47482961,11
6977,-49.2638656,-25.47626309,11
6978,-49.26292146,-25.47707667,11
6979,-49.26299808,-25.47714052,11
6980,-49.26299452,-25.47714447,11
6981,-49.26336758,-25.47744844,11
6982,-49.26347936,-25.47754158,11
6983,-49.26373685,-25.4783939,11
6984,-49.26343403,-25.47857027,11
6985,-49.26240647,-25.47916873,11
6986,-49.26248568,-25.47927073,11
6987,-49.26247953,-25.47927527,11
6988,-49.2583382,-25.47441312,11
6989,-49.25825237,-25.47427752,11
6990,-49.25808071,-25.47412255,11
6991,-49.2579305,-25.47396757,11
6992,-49.25775884,-25.4738126,11
6993,-49.25767301,-25.47371574,11
6994,-49.25754427,-25.47358014,11
6995,-49.25739406,-25.4734058,11
6996,-49.25728677,-25.47321208,11
6997,-49.25715803,-25.47301836,11
6998,-49.25702928,-25.47286339,11
6999,-49.25692199,-25.4727859,11
7000,-49.25681471,-25.47268904,11
7001,-49.25670742,-25.4725147,11
7002,-49.25660013,-25.47235972,11
7003,-49.25649284,-25.47224349,11
7004,-49.25640701,-25.47210789,11
7005,-49.25632118,-25.47197229,11
7006,-49.25614952,-25.47181731,11
7007,-49.25599931,-25.47168171,11
7008,-49.25589203,-25.47152673,11
7009,-49.25578474,-25.4714105,11
7010,-49.25561308,-25.4712749,11
7011,-49.25550579,-25.47113929,11
7012,-49.25541996,-25.47102306,11
7013,-49.25531267,-25.47077122,11
7014,-49.25518392,-25.47069373,11
7015,-49.2549908,-25.47050001,11
7016,-49.25481914,-25.47032566,11
7017,-49.25478932,-25.47015184,11
7018,-49.25476128,-25.47016374,11
7019,-49.25473649,-25.47015726,11
7020,-49.25460537,-25.47001874,11
7021,-49.25432008,-25.46975752,11
7022,-49.25346152,-25.46875274,11
7023,-49.25357683,-25.46848078,11
7024,-49.25366685,-25.46824216,11
7025,-49.25366366,-25.46819614,11
7026,-49.253691,-25.46818612,11
7027,-49.2538331,-25.46786678,11
7028,-49.25454984,-25.4663936,11
7029,-49.25471005,-25.46609604,11
7030,-49.25522121,-25.46505081,11
7031,-49.25566963,-25.46415062,11
7032,-49.25602897,-25.46340139,11
7033,-49.25614814,-25.46319883,11
7034,-49.25665555,-25.46224369,11
7035,-49.25705607,-25.46134864,11
7036,-49.25755576,-25.46032445,11
7037,-49.2580288,-25.45936309,11
7038,-49.25852095,-25.45837894,11
7039,-49.25899014,-25.45739853,11
7040,-49.25939831,-25.45658224,11
7041,-49.25963482,-25.45610349,11
7042,-49.26021436,-25.45491467,11
7043,-49.26018306,-25.45479557,11
7044,-49.26030989,-25.45471699,11
7045,-49.26074111,-25.45381462,11
7046,-49.26116446,-25.45295634,11
7047,-49.26220447,-25.45070788,11
7048,-49.26229794,-25.45074428,11
7049,-49.26230582,-25.45075841,11
7050,-49.26231343,-25.45077196,11
7051,-49.26232595,-25.45082169,11
7052,-49.26233643,-25.45086333,11
7053,-49.26265098,-25.45112465,11
7054,-49.26273337,-25.45119309,11
7055,-49.26273364,-25.45120169,11
7056,-49.26273554,-25.45126233,11
7057,-49.26280813,-25.45126407,11
7058,-49.26282206,-25.4512644,11
7059,-49.26287689,-25.45131545,11
7060,-49.26305981,-25.45148577,11
7061,-49.26375723,-25.45210453,11
7062,-49.26376555,-25.4521886,11
7063,-49.26383152,-25.45217261,11
7064,-49.26455854,-25.45283166,11
7065,-49.26532878,-25.4535181,11
7066,-49.26533114,-25.45359922,11
7067,-49.26540223,-25.45358535,11
7068,-49.26598189,-25.45410861,11
7069,-49.26599102,-25.45418366,11
7070,-49.26605603,-25.45417282,11
7071,-49.26624843,-25.45435098,11
7072,-49.26711984,-25.45513392,11
7073,-49.26781182,-25.45575318,11
7074,-49.26782148,-25.45582194,11
7075,-49.26788548,-25.45581338,11
7076,-49.26791366,-25.45583921,11
7077,-49.26793676,-25.45586037,11
7078,-49.2681556,-25.45606089,11
7079,-49.26815095,-25.45612436,11
7080,-49.26823048,-25.45612005,11
7081,-49.2691918,-25.45698615,11
7082,-49.26923373,-25.4569688,11
7083,-49.26925867,-25.45695847,11
7084,-49.26925385,-25.4569866,11
7085,-49.26924474,-25.45703964,11
7086,-49.27066376,-25.45830445,11
7087,-49.27073429,-25.45829682,11
7088,-49.27073949,-25.45829626,11
7089,-49.27074024,-25.45830208,11
7090,-49.27075103,-25.45838624,11
7091,-49.27093404,-25.45854592,11
7092,-49.27116093,-25.45874614,11
7093,-49.27143619,-25.45898903,11
7094,-49.27180057,-25.45931057,11
7095,-49.27185533,-25.45932652,11
7096,-49.27190222,-25.45934018,11
7097,-49.271891,-25.4593547,11
7098,-49.27186596,-25.45938716,11
7099,-49.27276625,-25.46020091,11
7100,-49.27333188,-25.46071594,11
7101,-49.27439147,-25.46167618,11
7102,-49.27475754,-25.46206299,11
7103,-49.27539054,-25.46262966,11
7104,-49.27609919,-25.46321552,11
7105,-49.27625132,-25.46335104,11
7106,-49.27654582,-25.46361626,11
7107,-49.27660582,-25.46362111,11
7108,-49.27661467,-25.46362182,11
7109,-49.27663041,-25.46363515,11
7110,-49.27663,-25.46364163,11
7111,-49.27662735,-25.46368413,11
7112,-49.27709538,-25.46406992,11
7113,-49.27741121,-25.46440259,11
7114,-49.27804421,-25.46497894,11
7115,-49.27835535,-25.46525985,11
7116,-49.27864503,-25.46554076,11
7117,-49.27928876,-25.46613163,11
7118,-49.27958917,-25.46639317,11
7119,-49.27881523,-25.46750368,11
7121,-49.24297788,-25.45339749,12
7122,-49.2429849,-25.45335215,12
7123,-49.24303279,-25.45328336,12
7124,-49.24306662,-25.4532757,12
7125,-49.24302606,-25.45320206,12
7126,-49.24316263,-25.4530285,12
7127,-49.24325444,-25.4530182,12
7128,-49.24323832,-25.45295641,12
7129,-49.24331726,-25.45293206,12
7130,-49.24328014,-25.4528446,12
7131,-49.24331302,-25.45280144,12
7132,-49.2435283,-25.45249933,12
7133,-49.24389176,-25.45200464,12
7134,-49.24410113,-25.45171695,12
7135,-49.24448173,-25.45119929,12
7136,-49.24480836,-25.4507649,12
7137,-49.24494314,-25.45070298,12
7138,-49.2449309,-25.45055263,12
7139,-49.24534969,-25.44997467,12
7140,-49.24566728,-25.44955131,12
7141,-49.24564094,-25.44941979,12
7142,-49.24576688,-25.4494157,12
7143,-49.24624771,-25.44875319,12
7144,-49.24651295,-25.44837659,12
7145,-49.2470629,-25.44761585,12
7146,-49.24703575,-25.44750639,12
7147,-49.24713482,-25.44748908,12
7148,-49.24712232,-25.44738763,12
7149,-49.24723081,-25.44739321,12
7150,-49.24755672,-25.44693551,12
7151,-49.24760479,-25.44686533,12
7152,-49.24756235,-25.44678401,12
7153,-49.24767756,-25.4467526,12
7154,-49.24776165,-25.44683878,12
7155,-49.24779427,-25.44683217,12
7156,-49.24868086,-25.44705411,12
7157,-49.24868966,-25.44706467,12
7158,-49.24870269,-25.44706183,12
7159,-49.24890124,-25.44711822,12
7160,-49.24915095,-25.44717652,12
7161,-49.24931481,-25.44721446,12
7162,-49.24952474,-25.44726027,12
7163,-49.24970119,-25.44729571,12
7164,-49.24970465,-25.44730578,12
7165,-49.24971641,-25.44730104,12
7166,-49.24990952,-25.44734833,12
7167,-49.25004717,-25.4473786,12
7168,-49.25005348,-25.44738969,12
7169,-49.25006532,-25.44738334,12
7170,-49.25040619,-25.44745438,12
7171,-49.25041064,-25.44746295,12
7172,-49.25041983,-25.4474577,12
7173,-49.25097686,-25.44756466,12
7174,-49.25161676,-25.44768555,12
7175,-49.25162669,-25.447699,12
7176,-49.2516441,-25.44768864,12
7177,-49.25211396,-25.44778699,12
7178,-49.25211838,-25.44779671,12
7179,-49.2521277,-25.44779279,12
7180,-49.2531468,-25.4479789,12
7181,-49.2531519,-25.44798589,12
7182,-49.25316058,-25.44798072,12
7183,-49.25423342,-25.44819999,12
7184,-49.25423846,-25.44820974,12
7185,-49.25424714,-25.44820358,12
7186,-49.2548398,-25.44832749,12
7187,-49.25485847,-25.44834624,12
7188,-49.25491427,-25.44834908,12
7189,-49.25507646,-25.44838,12
7190,-49.25552065,-25.44847193,12
7191,-49.25552463,-25.44848024,12
7192,-49.25553325,-25.44847383,12
7193,-49.25659247,-25.44866442,12
7194,-49.25660553,-25.44868588,12
7195,-49.2566288,-25.4486753,12
7196,-49.25762494,-25.44887792,12
7197,-49.25763516,-25.44889294,12
7198,-49.25765166,-25.44888823,12
7199,-49.25795522,-25.44902497,12
7200,-49.25796099,-25.44904425,12
7201,-49.25798033,-25.4490353,12
7202,-49.2587283,-25.44930503,12
7203,-49.25873282,-25.44932573,12
7204,-49.25875559,-25.44931984,12
7205,-49.25995283,-25.44979545,12
7206,-49.2599597,-25.44981307,12
7207,-49.25997914,-25.44980697,12
7208,-49.26115059,-25.4502882,12
7209,-49.26116024,-25.4503051,12
7210,-49.2611764,-25.45029944,12
7211,-49.26218005,-25.45069804,12
7212,-49.26218568,-25.45071252,12
7213,-49.26220447,-25.45070788,12
7214,-49.26116446,-25.45295634,12
7215,-49.26074111,-25.45381462,12
7216,-49.26030989,-25.45471699,12
7217,-49.26018306,-25.45479557,12
7218,-49.26021436,-25.45491467,12
7219,-49.25963482,-25.45610349,12
7220,-49.25939831,-25.45658224,12
7221,-49.25899014,-25.45739853,12
7222,-49.25852095,-25.45837894,12
7223,-49.2580288,-25.45936309,12
7224,-49.25755576,-25.46032445,12
7225,-49.25705607,-25.46134864,12
7226,-49.25665555,-25.46224369,12
7227,-49.25614814,-25.46319883,12
7228,-49.25602897,-25.46340139,12
7229,-49.25566963,-25.46415062,12
7230,-49.25522121,-25.46505081,12
7231,-49.25471005,-25.46609604,12
7232,-49.25454984,-25.4663936,12
7233,-49.2538331,-25.46786678,12
7234,-49.253691,-25.46818612,12
7235,-49.25366366,-25.46819614,12
7236,-49.25366685,-25.46824216,12
7237,-49.25357683,-25.46848078,12
7238,-49.25346152,-25.46875274,12
7239,-49.25316817,-25.46783992,12
7240,-49.25273809,-25.46682695,12
7241,-49.25238984,-25.46597019,12
7242,-49.25167451,-25.46409708,12
7243,-49.25138273,-25.46332956,12
7244,-49.25025571,-25.46045673,12
7245,-49.24997345,-25.45938158,12
7246,-49.2496976,-25.45942975,12
7247,-49.24978248,-25.45931863,12
7248,-49.24990671,-25.45915598,12
7249,-49.24954884,-25.45832905,12
7250,-49.2492216,-25.45824546,12
7251,-49.24941079,-25.45795803,12
7252,-49.24915402,-25.45736529,12
7253,-49.24894478,-25.45685489,12
7254,-49.24870064,-25.45631606,12
7255,-49.24847881,-25.45577394,12
